Year,Ethnicity,Sex,Cause,Count,Region
2010,NON-HISPANIC BLACK,Males,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,297,NYC
2010,NON-HISPANIC BLACK,Males,INFLUENZA AND PNEUMONIA,201,NYC
2010,NON-HISPANIC BLACK,Males,INTENTIONAL SELF-HARM (SUICIDE),64,NYC
2010,NON-HISPANIC BLACK,Males,MALIGNANT NEOPLASMS,1540,NYC
2010,NON-HISPANIC BLACK,Males,MENTAL DISORDERS DUE TO USE OF ALCOHOL,50,NYC
2010,NON-HISPANIC BLACK,Males,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,NYC
2010,NON-HISPANIC BLACK,Males,PEPTIC ULCER,13,NYC
2010,NON-HISPANIC BLACK,Males,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,111,NYC
2010,NON-HISPANIC BLACK,Males,SEPTICEMIA,36,NYC
2010,NON-HISPANIC BLACK,Males,SHORT GESTATION/LBW,35,NYC
2010,NON-HISPANIC BLACK,Males,VIRAL HEPATITIS,49,NYC
2010,NON-HISPANIC WHITE,Females,ACCIDENTS EXCEPT DRUG POISONING,164,NYC
2010,NON-HISPANIC WHITE,Females,ALZHEIMERS DISEASE,247,NYC
2010,NON-HISPANIC WHITE,Females,AORTIC ANEURYSM AND DISSECTION,22,NYC
2010,NON-HISPANIC WHITE,Females,ATHEROSCLEROSIS,74,NYC
2010,NON-HISPANIC WHITE,Females,BENIGN AND UNCERTAIN NEOPLASMS,69,NYC
2010,NON-HISPANIC WHITE,Females,CEREBROVASCULAR DISEASE,382,NYC
2010,NON-HISPANIC WHITE,Females,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,19,NYC
2010,NON-HISPANIC WHITE,Females,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,NYC
2010,NON-HISPANIC WHITE,Females,CHRONIC LOWER RESPIRATORY DISEASES,502,NYC
2010,NON-HISPANIC WHITE,Females,"CONGENITAL MALFORMATIONS,DEFORMATIONS",32,NYC
2010,NON-HISPANIC WHITE,Females,DIABETES MELLITUS,258,NYC
2010,NON-HISPANIC WHITE,Females,DISEASES OF HEART,5351,NYC
2010,NON-HISPANIC WHITE,Females,ESSENTIAL HYPERTENSION AND RENAL DISEASES,219,NYC
2010,NON-HISPANIC WHITE,Females,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,24,NYC
2010,NON-HISPANIC WHITE,Females,INFLUENZA AND PNEUMONIA,707,NYC
2010,NON-HISPANIC WHITE,Females,INTENTIONAL SELF-HARM (SUICIDE),61,NYC
2010,NON-HISPANIC WHITE,Females,MALIGNANT NEOPLASMS,3438,NYC
2010,NON-HISPANIC WHITE,Females,MENTAL DISORDERS DUE TO USE OF ALCOHOL,16,NYC
2010,NON-HISPANIC WHITE,Females,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",90,NYC
2010,NON-HISPANIC WHITE,Females,PARKINSONS DISEASE,55,NYC
2010,NON-HISPANIC WHITE,Females,PEPTIC ULCER,22,NYC
2010,NON-HISPANIC WHITE,Females,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,75,NYC
2010,NON-HISPANIC WHITE,Females,SEPTICEMIA,107,NYC
2010,NON-HISPANIC WHITE,Females,SHORT GESTATION/LBW,14,NYC
2010,NON-HISPANIC WHITE,Females,VIRAL HEPATITIS,32,NYC
2010,NON-HISPANIC WHITE,Males,ACCIDENTS EXCEPT DRUG POISONING,272,NYC
2010,NON-HISPANIC WHITE,Males,ALZHEIMERS DISEASE,94,NYC
2010,NON-HISPANIC WHITE,Males,AORTIC ANEURYSM AND DISSECTION,49,NYC
2010,NON-HISPANIC WHITE,Males,ASSAULT (HOMICIDE),25,NYC
2010,NON-HISPANIC WHITE,Males,ATHEROSCLEROSIS,46,NYC
2010,NON-HISPANIC WHITE,Males,BENIGN AND UNCERTAIN NEOPLASMS,91,NYC
2010,NON-HISPANIC WHITE,Males,CEREBROVASCULAR DISEASE,276,NYC
2010,NON-HISPANIC WHITE,Males,CHRONIC LIVER DISEASE AND CIRRHOSIS,110,NYC
2010,NON-HISPANIC WHITE,Males,CHRONIC LOWER RESPIRATORY DISEASES,388,NYC
2010,NON-HISPANIC WHITE,Males,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33,NYC
2010,NON-HISPANIC WHITE,Males,DIABETES MELLITUS,245,NYC
2010,NON-HISPANIC WHITE,Males,DISEASES OF HEART,4495,NYC
2010,NON-HISPANIC WHITE,Males,ESSENTIAL HYPERTENSION AND RENAL DISEASES,153,NYC
2010,NON-HISPANIC WHITE,Males,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,76,NYC
2010,NON-HISPANIC WHITE,Males,INFLUENZA AND PNEUMONIA,614,NYC
2010,NON-HISPANIC WHITE,Males,INTENTIONAL SELF-HARM (SUICIDE),182,NYC
2010,NON-HISPANIC WHITE,Males,MALIGNANT NEOPLASMS,3408,NYC
2010,NON-HISPANIC WHITE,Males,MENTAL DISORDERS DUE TO USE OF ALCOHOL,57,NYC
2010,NON-HISPANIC WHITE,Males,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",119,NYC
2010,NON-HISPANIC WHITE,Males,PARKINSONS DISEASE,79,NYC
2010,NON-HISPANIC WHITE,Males,PEPTIC ULCER,19,NYC
2010,NON-HISPANIC WHITE,Males,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,211,NYC
2010,NON-HISPANIC WHITE,Males,SEPTICEMIA,74,NYC
2010,NON-HISPANIC WHITE,Males,SHORT GESTATION/LBW,14,NYC
2010,NON-HISPANIC WHITE,Males,VIRAL HEPATITIS,82,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,ACCIDENTS EXCEPT DRUG POISONING,44,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,ALZHEIMERS DISEASE,24,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,ANEMIAS,5,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,ASSAULT (HOMICIDE),6,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,BENIGN AND UNCERTAIN NEOPLASMS,11,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,CEREBROVASCULAR DISEASE,98,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,CHRONIC LIVER DISEASE AND CIRRHOSIS,10,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,CHRONIC LOWER RESPIRATORY DISEASES,30,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,DIABETES MELLITUS,51,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,DISEASES OF HEART,402,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,ESSENTIAL HYPERTENSION AND RENAL DISEASES,46,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,INFLUENZA AND PNEUMONIA,84,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,INTENTIONAL SELF-HARM (SUICIDE),23,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,MALIGNANT NEOPLASMS,454,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",18,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,PARKINSONS DISEASE,5,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,SEPTICEMIA,11,NYC
2011,ASIAN & PACIFIC ISLANDER,Females,VIRAL HEPATITIS,6,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,ACCIDENTS EXCEPT DRUG POISONING,61,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,ALZHEIMERS DISEASE,18,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,AORTIC ANEURYSM AND DISSECTION,6,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,ASSAULT (HOMICIDE),9,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,ATHEROSCLEROSIS,6,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,BENIGN AND UNCERTAIN NEOPLASMS,11,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,CEREBROVASCULAR DISEASE,79,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,CHRONIC LIVER DISEASE AND CIRRHOSIS,15,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,CHRONIC LOWER RESPIRATORY DISEASES,73,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,"CONGENITAL MALFORMATIONS,DEFORMATIONS",13,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,DIABETES MELLITUS,60,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,DISEASES OF HEART,452,NYC
2011,ASIAN & PACIFIC ISLANDER,Males,ESSENTIAL HYPERTENSION AND RENAL DISEASES,37,NYC
